Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
"Theo quy định của Thông tư 22/2020/TT-BCT, Trường hợp nào sau đây là trường hợp ngừng, giảm mức cung cấp điện khẩn cấp?","Ngừng, giảm mức cung cấp điện theo kế hoạch của bên bán điện khi có nhu cầu sửa chữa, bảo dưỡng, đại tu, xây lắp các công trình điện, điều hoà, hạn chế phụ tải do thiếu nguồn điện và các nhu cầu khác theo kế hoạch","Có sự cố xảy ra trên lưới điện cấp điện cho bên mua điện; sự cố trong hệ thống điện gây mất điện mà bên bán điện không kiểm soát được","Ngừng cấp điện theo yêu cầu của tổ chức, cá nhân có liên quan trong trường hợp để đảm bảo an toàn phục vụ thi công các công trình","Ngừng, giảm mức cung cấp điện theo yêu cầu của bên mua điện","B"
"Theo quy định của Thông tư 27/2013/TT - BCT, Kiểm tra viên điện lực của đơn vị bán buôn điện và bán lẻ điện không bắt buộc phải có tiêu chuẩn nào sau đây?","Có trình độ đại học trở lên về chuyên ngành điện","Có thời gian công tác trong lĩnh vực quản lý lưới điện truyền tải, lưới điện phân phối, kinh doanh điện từ 03 năm trở lên","Đã được bồi dưỡng kiến thức pháp luật về hoạt động điện lực và sử dụng điện","Nắm vững các quy trình, quy chuẩn kỹ thuật điện, an toàn điện, các quy định về công tác kiểm tra hoạt động điện lực, sử dụng điện","A"
"Theo quy định của Thông tư 27/2013/TT - BCT, Kiểm tra viên điện lực của đơn vị phân phối điện có nhiệm vụ, quyền hạn nào sau đây?","Kiểm tra hợp đồng mua bán điện của bên mua điện","Kiểm tra và ngăn chặn kịp thời các hành vi vi phạm về an toàn điện được quy định tại điều 7 của Luật Điện lực","Kiểm tra việc sử dụng điện an toàn, tiết kiệm, hiệu quả","Kiểm tra việc cắt điện, giảm mức tiêu thụ điện của bên sử dụng điện","B"
"Theo quy định của Thông tư 27/2013/TT - BCT, việc Kiểm tra hoạt động điện lực và sử dụng điện lực theo kế hoạch phải thông báo cho bên được kiểm tra biết trước ít nhất bao nhiêu ngày làm việc?","02 ngày","05 ngày","07 ngày","10 ngày","B"
"Theo quy định của Thông tư 39/2015/TT-BCT, Thời gian để Đơn vị phân phối điện có trách nhiệm phối hợp với khách hàng hoàn thành đóng điện chạy thử, nghiệm thu và đóng điện vận hành chính thức cho khách hàng có đề nghị đấu nối được thực hiện như thế nào?","06 ngày làm việc kể từ ngày nhận đầy đủ hồ sơ đóng điện điểm đấu nối hợp lệ của Khách hàng sử dụng điện có trạm điện riêng đấu nối vào lưới điện trung áp","06 ngày làm việc kể từ ngày nhận đầy đủ hồ sơ hợp lệ của Khách hàng sử dụng điện có trạm điện riêng đấu nối vào lưới điện trung áp","05 ngày làm việc kể từ ngày nhận đầy đủ hồ sơ đóng điện điểm đấu nối hợp lệ của Khách hàng sử dụng điện có trạm điện riêng đấu nối vào lưới điện trung áp","07 ngày làm việc kể từ ngày nhận đầy đủ hồ sơ đóng điện điểm đấu nối của Khách hàng sử dụng điện có trạm điện riêng đấu nối vào lưới điện trung áp","C"
"Theo quy định của Thông tư số 22/2020/TT-BCT, bên bán điện chỉ được ngừng cấp điện khi tổ chức, cá nhân vi phạm quy định của pháp luật nào sau đây?","Luật Điện lực","Pháp luật về bảo vệ môi trường","Luật Xây dựng","Luật Đất đai","A"
"Theo quy định tại Nghị định 17/2022/NĐ-CP ngày 31/01/2022, Đơn vị phân phối điện bị phạt tiền từ 40.000.000 đồng đến 60.000.000 đồng đối với hành vi vi phạm nào trong các hành vi vi phạm sau?","Không hoàn thành kiểm tra, sửa chữa hoặc thay thế thiết bị đo đếm điện hoặc không có giải pháp thay thế trong thời hạn 03 ngày làm việc tính từ ngày nhận được yêu cầu bằng văn bản của bên mua điện","Sử dụng các thiết bị đo đếm điện năng không được kiểm định theo quy định hoặc đã được kiểm định nhưng không đạt tiêu chuẩn, quy chuẩn kỹ thuật do cơ quan nhà nước có thẩm quyền ban hành cho thiết bị đo đếm điện năng đối với lưới phân phối điện","Cho phép đấu nối vào lưới phân phối điện các thiết bị không phù hợp với tiêu chuẩn, quy chuẩn kỹ thuật do cơ quan nhà nước có thẩm quyền ban hành","Cung cấp thông tin không chính xác gây ảnh hưởng đến an toàn, thiệt hại đối với hoạt động phân phối điện","A"
"Theo quy định tại Nghị định 17/2022/NĐ-CP ngày 31/01/2022, Hành vi vi phạm nào sau đây của Đơn vị bán lẻ điện bị phạt tiền từ 40.000.000 đến 50.000.000 đồng?","Không ký hợp đồng mua bán điện phục vụ mục đích sinh hoạt sau 07 ngày làm việc mà không có lý do chính đáng kể từ khi bên mua điện đã bảo đảm các điều kiện theo quy định và thỏa thuận về các nội dung trong dự thảo hợp đồng","Ngừng hoặc giảm mức cung cấp điện mà không thông báo theo quy định về trình tự ngừng, giảm mức cung cấp điện","Bán điện mà không có hợp đồng mua bán điện với khách hàng sử dụng điện.","Bán sai giá điện do cơ quan có thẩm quyền quy định","C"
"Theo quy định tại Nghị định 17/2022/NĐ-CP ngày 31/01/2022, Hành vi vi phạm nào sau đây của Đơn vị phân phối điện bị phạt tiền từ 40.000.000 đến 60.000.000 đồng?","Không báo cáo về khả năng sẵn sàng vận hành, mức dự phòng của lưới điện và trang thiết bị phân phối điện, nhu cầu sử dụng điện trên địa bàn hoạt động của mình theo yêu cầu của Đơn vị điều độ hệ thống điện quốc gia, Đơn vị điều hành giao dịch thị trường điện lực, Cơ quan điều tiết điện lực hoặc cơ quan nhà nước có thẩm quyền","Không cung cấp dịch vụ phân phối điện cho khách hàng sử dụng điện, Đơn vị bán lẻ điện, Đơn vị bán buôn điện đã đáp ứng các tiêu chuẩn, quy chuẩn kỹ thuật, chất lượng dịch vụ, an toàn theo hợp đồng, trừ trường hợp lưới phân phối điện bị quá tải có xác nhận của Cơ quan điều tiết điện lực hoặc cơ quan được ủy quyền","Không hoàn thành kiểm tra, sửa chữa hoặc thay thế thiết bị đo đếm điện hoặc không có giải pháp thay thế trong thời hạn 03 ngày làm việc tính từ ngày nhận được yêu cầu bằng văn bản của bên mua điện","Sử dụng thiết bị đo đếm điện không phù hợp với Tiêu chuẩn quốc gia (TCVN), không được cơ quan quản lý nhà nước hoặc tổ chức được chỉ định về đo lường kiểm định và niêm phong","C"
"Theo quy định tại Nghị định 17/2022/NĐ-CP ngày 31/01/2022, Hành vi vi phạm nào sau đây của Đơn vị phát điện, bán buôn, bán lẻ điện bị phạt tiền từ 100.000.000 đến 120.000.000 đồng?","Bán sai giá điện do cơ quan có thẩm quyền quy định","Mua, bán buôn điện mà hợp đồng mua, bán buôn điện không tuân thủ các quy định của pháp luật về hợp đồng mua, bán điện có thời hạn","Mua, bán điện với đơn vị không có Giấy phép hoạt động điện lực","Xuất, nhập khẩu điện mà không có Giấy phép xuất, nhập khẩu điện","B"
"Theo quy định tại Nghị định 17/2022/NĐ-CP ngày 31/01/2022, Người cho thuê nhà thu tiền điện của người thuê nhà cao hơn giá quy định trong trường hợp mua điện theo giá bán lẻ điện để phục vụ mục đích sinh hoạt, sản xuất, kinh doanh, dịch vụ sẽ bị phạt tiền với mức phạt như thế nào?","Phạt tiền từ 20.000.000 đến 30.000.000 đồng","Phạt tiền từ 30.000.000 đến 40.000.000 đồng","Phạt tiền từ 40.000.000 đến 50.000.000 đồng","Phạt tiền từ 50.000.000 đến 60.000.000 đồng","A"
"Thiệt hại bao nhiêu được coi là thiệt hại nghiêm trọng?","Thiệt hại có giá trị trên 30 tháng lương tối thiểu vùng do Chính phủ quy định áp dụng nơi NLĐ làm việc","Thiệt hại có giá trị trên 10 tháng lương tối thiểu vùng đến 30 tháng lương tối thiểu vùng do Chính phủ quy định áp dụng nơi NLĐ làm việc","Thiệt hại có giá trị trên 10 tháng lương tối thiểu vùng do Chính phủ quy định áp dụng nơi NLĐ làm việc","Thiệt hại có giá trị trên 05 tháng lương tối thiểu vùng đến 10 tháng lương tối thiểu vùng do Chính phủ quy định áp dụng nơi NLĐ làm việc","B"
"Trong Bộ quy tắc ứng cử EVNHANOI, về văn hóa giao tiếp khi bắt tay, quy định nào là không đúng?","Trong nội bộ, cấp dưới chủ động giơ tay ra trước để bắt tay chào đón, cấp trên nhận bắt tay và gật đầu mỉm cười","Trong ngoại giao, Chủ nhà chủ động giơ tay trước để bắt tay đón khách","Nam giới với nhau: nên nắm cả bàn tay, siết nhẹ tay","Cần bắt tay với tư thế đĩnh đạc, nhìn vào mắt người đối diện","A"
"Trong Bộ quy tắc ứng xử của EVNHANOI, nguyên tắc trong ""Quan hệ nội bộ"" là gì?","Tôn trọng - Bình đẳng - Hợp tác","Tôn trọng - Đoàn kết - Trí tuệ","Hợp tác - Đổi mới - Chia sẻ","Tôn trọng - đoàn kết - Chia sẻ","D"
"Trong Bộ quy tắc ứng xử của EVNHANOI, nguyên tắc trong ""Quan hệ với đối tác"" là gì?","Bình đẳng - tin cậy - hợp tác","Bình đẳng - hợp tác - chia sẻ","Tôn trọng - chia sẻ - đoàn kết","Hợp tác - Đổi mới - Bền vững","A"
"Trong Bộ quy tắc ứng xử EVNHANOI, phần ""Đoàn kết, chia sẻ"" yêu cầu CBCNV EVNHANOI cần nêu cao đạo lý gì?","Uống nước nhớ nguồn","Tương thân tương ái","Lá lành đùm lá rách","Thương người như thể thương thân","A"
"Trong các hành vi sau đây, hành vi nào là hành vi vi phạm hợp đồng mua bán điện của bên bán điện theo quy định tại Nghị định 137/2013/NĐ-CP?","Lợi dụng chức vụ, quyền hạn để gây sách nhiễu, phiền hà, thu lợi bất chính","Trộm cắp điện","Ghi sai chỉ số công tơ","Cản trở việc kiểm tra hoạt động điện lực và sử dụng điện","C"
"Trong các hành vi sau đây, hành vi nào là hành vi vi phạm hợp đồng mua bán điện của bên bán điện theo quy định tại Nghị định 137/2013/NĐ-CP?.","Lợi dụng chức vụ, quyền hạn để gây sách nhiễu, phiền hà, thu lợi bất chính","Trộm cắp điện","Ghi sai chỉ số công tơ","Cản trở việc kiểm tra hoạt động điện lực và sử dụng điện","C"
"Trong các hành vi sau đây, hành vi nào là hành vi bị cấm trong hoạt động điện lực và sử dụng điện?","Đóng cắt điện trái quy định của pháp luật","Ghi sai chỉ số công tơ, tính sai tiền điện trong hóa đơn","Sử dụng điện sai mục đích ghi trong hợp đồng","Chậm trả tiền điện theo quy định mà không có lý do chính đáng","A"
